miRNA	PositionUTR	seedmatch	context++score	context++scorepercentile	weightedcontext++score	conservedbranchlength	Pct
hsa-miR-627-3p	131-137	7mer-1A	-0.01	 24	-0.01	0.000	N/A
hsa-miR-103a-2-5p	134-140	7mer-m8	-0.10	 77	-0.10	0.031	N/A
hsa-miR-5009-3p	149-155	7mer-1A	-0.01	 28	-0.01	0.000	N/A
hsa-miR-662	157-163	7mer-m8	-0.29	 92	-0.29	0.000	N/A
hsa-miR-361-3p	160-166	7mer-1A	-0.14	 79	-0.14	0.043	N/A
hsa-miR-3679-3p	161-168	8mer	-0.54	 99	-0.54	0.000	N/A
hsa-miR-4446-5p	163-169	7mer-1A	-0.08	 76	-0.08	0.000	N/A
hsa-miR-627-3p	165-171	7mer-1A	-0.01	 24	-0.01	0.000	N/A
hsa-miR-4426	176-182	7mer-1A	-0.09	 89	-0.09	0.000	N/A
hsa-miR-4662b	176-182	7mer-1A	-0.11	 83	-0.11	0.000	N/A
hsa-miR-4647	176-182	7mer-1A	-0.03	 74	-0.03	0.000	N/A
hsa-miR-4803	184-190	7mer-m8	-0.09	 88	-0.09	0.031	N/A
hsa-miR-605-5p	198-204	7mer-1A	-0.02	 57	-0.02	0.016	N/A
hsa-miR-29a-3p	217-223	7mer-m8	-0.12	 72	-0.12	0.939	< 0.1
hsa-miR-29b-3p	217-223	7mer-m8	-0.12	 72	-0.12	0.939	< 0.1
hsa-miR-29c-3p	217-223	7mer-m8	-0.12	 72	-0.12	0.939	< 0.1
hsa-miR-3065-3p	218-224	7mer-m8	-0.28	 96	-0.28	0.000	N/A
hsa-miR-6715b-3p	224-230	7mer-1A	-0.01	 45	-0.01	0.000	N/A
hsa-miR-607	225-231	7mer-1A	-0.01	 40	-0.01	0.000	N/A
hsa-miR-3160-5p	228-234	7mer-1A	-0.15	 91	-0.15	0.000	N/A
hsa-miR-4686	231-237	7mer-m8	-0.22	 92	-0.22	0.000	N/A
hsa-miR-4496	241-247	7mer-1A	-0.01	 64	-0.01	0.000	N/A
hsa-miR-376c-3p	245-251	7mer-1A	-0.17	 86	-0.17	0.623	N/A
hsa-miR-4789-3p	250-256	7mer-m8	-0.08	 80	-0.08	0.000	N/A
hsa-miR-488-5p	257-263	7mer-m8	-0.12	 77	-0.12	0.031	N/A
hsa-miR-4435	260-266	7mer-m8	-0.27	 94	-0.27	0.000	N/A
hsa-miR-6728-5p	265-272	8mer	-0.33	 98	-0.33	0.000	N/A
hsa-miR-5187-5p	265-271	7mer-1A	-0.19	 84	-0.19	0.159	N/A
hsa-miR-6513-5p	266-272	7mer-m8	-0.08	 82	-0.08	0.000	N/A
hsa-miR-769-3p	266-272	7mer-1A	-0.03	 65	-0.03	0.164	N/A
hsa-miR-450b-3p	266-272	7mer-1A	-0.02	 56	-0.02	0.164	N/A
hsa-miR-5089-5p	266-272	7mer-1A	-0.01	 28	-0.01	0.000	N/A
hsa-miR-4425	267-273	7mer-m8	-0.24	 86	-0.24	0.000	N/A
hsa-miR-92a-1-5p	268-274	7mer-m8	-0.23	 82	-0.23	0.000	N/A
hsa-miR-4507	270-277	8mer	-0.30	 96	-0.30	0.000	N/A
hsa-miR-3940-5p	270-277	8mer	-0.22	 95	-0.22	0.000	N/A
hsa-miR-6839-3p	271-277	7mer-1A	-0.15	 82	-0.15	0.000	N/A
hsa-miR-6740-5p	273-279	7mer-m8	-0.21	 88	-0.21	0.000	N/A
hsa-miR-4709-5p	278-285	8mer	-0.23	 96	-0.23	0.000	N/A
hsa-miR-421	279-286	8mer	-0.20	 92	-0.20	0.000	N/A
hsa-miR-7159-5p	280-286	7mer-1A	-0.05	 63	-0.05	0.000	N/A
hsa-miR-505-3p.2	280-286	7mer-1A	-0.01	 46	-0.01	0.000	N/A
hsa-miR-676-5p	281-287	7mer-m8	-0.13	 92	-0.13	0.000	N/A
hsa-miR-1283	288-294	7mer-m8	-0.02	 20	-0.02	0.016	N/A
hsa-miR-4670-3p	295-302	8mer	-0.04	 48	-0.04	0.000	N/A
hsa-miR-181b-3p	300-306	7mer-m8	-0.05	 63	-0.05	0.260	N/A
hsa-miR-181b-2-3p	300-306	7mer-m8	-0.05	 63	-0.05	0.260	N/A
hsa-miR-4420	300-306	7mer-m8	-0.02	 53	-0.02	0.260	N/A
hsa-miR-1304-3p	301-308	8mer	-0.20	 96	-0.20	0.223	N/A
hsa-miR-30d-3p	330-336	7mer-1A	-0.02	 64	-0.02	0.164	N/A
hsa-miR-30a-3p	330-336	7mer-1A	-0.02	 64	-0.02	0.164	N/A
hsa-miR-30e-3p	330-336	7mer-1A	-0.02	 63	-0.02	0.164	N/A
hsa-miR-5003-3p	332-339	8mer	-0.16	 96	-0.16	0.000	N/A
hsa-miR-548c-3p	339-345	7mer-1A	-0.01	 57	-0.01	0.170	N/A
hsa-miR-1283	349-355	7mer-m8	-0.02	 20	-0.02	0.016	N/A
hsa-miR-188-3p	362-368	7mer-m8	-0.15	 77	-0.15	0.000	N/A
hsa-miR-4733-5p	364-370	7mer-1A	-0.15	 89	-0.15	0.000	N/A
hsa-miR-568	372-378	7mer-1A	-0.07	 69	-0.07	0.016	N/A
hsa-miR-643	373-379	7mer-m8	-0.09	 71	-0.09	0.016	N/A
hsa-miR-6828-3p	378-384	7mer-1A	-0.10	 78	-0.10	0.000	N/A
hsa-miR-6071	378-384	7mer-1A	-0.06	 60	-0.06	0.000	N/A
hsa-miR-148b-5p	380-386	7mer-m8	-0.06	 70	-0.06	0.000	N/A
hsa-miR-6874-3p	380-386	7mer-m8	-0.04	 64	-0.04	0.000	N/A
hsa-miR-4277	381-388	8mer	-0.07	 81	-0.07	0.000	N/A
hsa-miR-584-3p	382-388	7mer-1A	-0.01	 33	-0.01	0.000	N/A
hsa-miR-33b-3p	388-394	7mer-m8	-0.23	 91	-0.23	0.016	N/A
hsa-miR-515-3p	388-394	7mer-m8	-0.16	 89	-0.16	0.016	N/A
hsa-miR-519e-3p	388-394	7mer-m8	-0.21	 88	-0.21	0.016	N/A
hsa-miR-519a-3p	390-396	7mer-1A	-0.12	 81	-0.12	0.016	N/A
hsa-miR-519c-3p	390-396	7mer-1A	-0.12	 81	-0.12	0.016	N/A
hsa-miR-519b-3p	390-396	7mer-1A	-0.12	 81	-0.12	0.016	N/A
hsa-miR-302e	390-396	7mer-1A	-0.07	 75	-0.07	0.107	< 0.1
hsa-miR-520e	390-396	7mer-1A	-0.04	 68	-0.04	0.107	< 0.1
hsa-miR-520d-3p	390-396	7mer-1A	-0.04	 67	-0.04	0.107	< 0.1
hsa-miR-520a-3p	390-396	7mer-1A	-0.04	 67	-0.04	0.107	< 0.1
hsa-miR-302b-3p	390-396	7mer-1A	-0.04	 66	-0.04	0.107	< 0.1
hsa-miR-302a-3p	390-396	7mer-1A	-0.04	 66	-0.04	0.107	< 0.1
hsa-miR-302d-3p	390-396	7mer-1A	-0.04	 66	-0.04	0.107	< 0.1
hsa-miR-302c-3p.1	390-396	7mer-1A	-0.04	 66	-0.04	0.107	< 0.1
hsa-miR-520b	390-396	7mer-1A	-0.04	 65	-0.04	0.107	< 0.1
hsa-miR-372-3p	390-396	7mer-1A	-0.04	 65	-0.04	0.107	< 0.1
hsa-miR-520c-3p	390-396	7mer-1A	-0.04	 65	-0.04	0.107	< 0.1
hsa-miR-373-3p	390-396	7mer-1A	-0.01	 29	-0.01	0.107	< 0.1
hsa-miR-676-3p	395-401	7mer-m8	-0.15	 85	-0.15	0.016	N/A
hsa-miR-6834-3p	397-403	7mer-1A	-0.14	 80	-0.14	0.000	N/A
hsa-miR-548t-5p	405-411	7mer-m8	-0.02	 64	-0.02	0.000	N/A
hsa-miR-548az-5p	405-411	7mer-m8	-0.02	 64	-0.02	0.000	N/A
hsa-miR-5011-5p	416-423	8mer	-0.03	 56	-0.03	0.000	N/A
hsa-miR-190a-3p	417-423	7mer-m8	-0.02	 40	-0.02	0.000	N/A
hsa-miR-5011-5p	418-424	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-3201	421-427	7mer-1A	-0.08	 72	-0.08	0.000	N/A
hsa-miR-4791	421-427	7mer-1A	-0.08	 61	-0.08	0.000	N/A
hsa-miR-1261	422-428	7mer-1A	-0.13	 76	-0.13	0.000	N/A
hsa-miR-5004-3p	423-429	7mer-1A	-0.08	 68	-0.08	0.000	N/A
hsa-miR-4423-3p	430-436	7mer-1A	-0.10	 70	-0.10	0.016	N/A
hsa-miR-2116-3p	441-447	7mer-m8	-0.18	 95	-0.18	0.000	N/A
hsa-miR-6749-3p	443-450	8mer	-0.34	 95	-0.34	0.000	N/A
hsa-miR-6792-3p	444-450	7mer-1A	-0.12	 73	-0.12	0.000	N/A
hsa-miR-4691-5p	444-450	7mer-1A	-0.07	 72	-0.07	0.000	N/A
hsa-miR-1238-3p	445-451	7mer-1A	-0.05	 69	-0.05	0.000	N/A
hsa-miR-670-3p	445-451	7mer-1A	-0.05	 57	-0.05	0.093	N/A
hsa-miR-3926	454-460	7mer-1A	-0.08	 62	-0.08	0.000	N/A
hsa-miR-548s	454-460	7mer-m8	-0.03	 43	-0.03	0.000	N/A
hsa-miR-4651	458-465	8mer	-0.33	 90	-0.33	0.000	N/A
hsa-miR-608	458-465	8mer	-0.30	 86	-0.30	0.000	N/A
hsa-miR-6819-5p	459-466	8mer	-0.27	 92	-0.27	0.000	N/A
hsa-miR-6812-5p	459-466	8mer	-0.25	 89	-0.25	0.000	N/A
hsa-miR-6737-5p	459-466	8mer	-0.23	 88	-0.23	0.000	N/A
hsa-miR-6747-5p	459-465	7mer-1A	-0.10	 68	-0.10	0.000	N/A
hsa-miR-342-5p	459-465	7mer-1A	-0.05	 55	-0.05	0.000	N/A
hsa-miR-4664-5p	459-465	7mer-1A	-0.03	 46	-0.03	0.000	N/A
hsa-miR-5572	460-467	8mer	-0.13	 85	-0.13	0.137	N/A
hsa-miR-3170	460-466	7mer-1A	-0.12	 75	-0.12	0.000	N/A
hsa-miR-6855-5p	460-466	7mer-1A	-0.12	 75	-0.12	0.000	N/A
hsa-miR-450a-2-3p	461-467	7mer-1A	-0.13	 64	-0.13	0.226	N/A
hsa-miR-4260	461-467	7mer-1A	-0.06	 60	-0.06	0.000	N/A
hsa-miR-96-3p	478-484	7mer-m8	-0.16	 90	-0.16	0.000	N/A
hsa-miR-4719	483-489	7mer-m8	-0.02	 55	-0.02	0.000	N/A
hsa-miR-376a-3p	490-497	8mer	-0.19	 85	-0.19	0.336	N/A
hsa-miR-376b-3p	490-497	8mer	-0.19	 85	-0.19	0.336	N/A
hsa-miR-383-3p	497-503	7mer-m8	-0.12	 88	-0.12	0.000	N/A
hsa-miR-338-3p	499-505	7mer-1A	-0.08	 82	-0.08	0.127	< 0.1
hsa-miR-4530	499-505	7mer-1A	-0.10	 78	-0.10	0.000	N/A
hsa-miR-5586-5p	500-507	8mer	-0.33	 97	-0.33	0.000	N/A
hsa-miR-944	505-511	7mer-1A	-0.01	 41	-0.01	0.043	N/A
hsa-miR-6729-3p	516-522	7mer-1A	-0.01	 39	-0.01	0.000	N/A
hsa-miR-6870-3p	517-523	7mer-m8	-0.02	 56	-0.02	0.000	N/A
hsa-miR-3670	520-526	7mer-m8	-0.10	 62	-0.10	0.031	N/A
hsa-miR-3622b-5p	531-537	7mer-1A	-0.09	 61	-0.09	0.000	N/A
hsa-miR-205-5p	537-544	8mer	-0.03	 56	-0.03	0.393	< 0.1
hsa-miR-6868-3p	539-545	7mer-1A	-0.02	 37	-0.02	0.000	N/A
hsa-miR-3124-3p	541-547	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-3119	544-550	7mer-1A	-0.03	 49	-0.03	0.000	N/A
hsa-miR-6090	551-557	7mer-m8	-0.15	 89	-0.15	0.000	N/A
hsa-miR-7515	554-561	8mer	-0.09	 65	-0.09	0.000	N/A
hsa-miR-6864-5p	555-561	7mer-m8	-0.07	 67	-0.07	0.000	N/A
hsa-miR-3179	555-561	7mer-1A	-0.09	 65	-0.09	0.000	N/A
hsa-miR-4452	562-568	7mer-m8	-0.02	 66	-0.02	0.000	N/A
hsa-miR-4680-3p	563-570	8mer	-0.03	 63	-0.03	0.000	N/A
hsa-miR-4427	564-570	7mer-1A	-0.07	 75	-0.07	0.000	N/A
hsa-miR-5187-3p	564-570	7mer-1A	-0.01	 41	-0.01	0.000	N/A
hsa-miR-146a-3p	565-571	7mer-m8	-0.04	 55	-0.04	0.000	N/A
hsa-miR-2682-3p	568-574	7mer-1A	-0.09	 76	-0.09	0.000	N/A
hsa-miR-6781-3p	568-574	7mer-1A	-0.04	 54	-0.04	0.000	N/A
hsa-miR-6747-3p	570-576	7mer-m8	-0.13	 81	-0.13	0.000	N/A
hsa-miR-6752-3p	571-578	8mer	-0.31	 94	-0.31	0.000	N/A
hsa-miR-7113-3p	573-579	7mer-m8	-0.02	 38	-0.02	0.000	N/A
hsa-miR-7106-3p	574-581	8mer	-0.18	 81	-0.18	0.000	N/A
hsa-miR-6772-3p	576-582	7mer-1A	-0.05	 51	-0.05	0.000	N/A
hsa-miR-302f	578-584	7mer-m8	-0.02	 29	-0.02	0.016	N/A
hsa-miR-219b-3p	579-585	7mer-m8	-0.02	 44	-0.02	0.000	N/A
hsa-miR-6128	582-588	7mer-m8	-0.02	 47	-0.02	0.043	N/A
hsa-miR-4738-3p	586-593	8mer	-0.20	 96	-0.20	0.000	N/A
hsa-miR-6800-5p	591-598	8mer	-0.28	 96	-0.28	0.000	N/A
hsa-miR-6802-5p	592-598	7mer-1A	-0.19	 77	-0.19	0.000	N/A
hsa-miR-3672	598-604	7mer-m8	-0.22	 95	-0.22	0.000	N/A
hsa-miR-6864-3p	598-604	7mer-m8	-0.13	 94	-0.13	0.000	N/A
hsa-miR-873-3p	598-604	7mer-1A	-0.10	 83	-0.10	0.000	N/A
hsa-miR-4712-3p	600-606	7mer-1A	-0.13	 85	-0.13	0.000	N/A
hsa-miR-4282	606-612	7mer-1A	-0.01	 49	-0.01	0.000	N/A
hsa-miR-8059	612-618	7mer-m8	-0.28	 96	-0.28	0.000	N/A
hsa-miR-4471	612-618	7mer-m8	-0.30	 95	-0.30	0.000	N/A
hsa-miR-6750-5p	613-619	7mer-m8	-0.30	 98	-0.30	0.000	N/A
hsa-miR-6822-5p	613-619	7mer-m8	-0.28	 97	-0.28	0.000	N/A
hsa-miR-6823-5p	626-633	8mer	-0.44	 99	-0.44	0.000	N/A
hsa-miR-3127-5p	628-634	7mer-1A	-0.16	 81	-0.16	0.016	N/A
hsa-miR-30a-3p	630-636	7mer-1A	-0.01	 38	-0.01	0.016	N/A
hsa-miR-30e-3p	630-636	7mer-1A	-0.01	 38	-0.01	0.016	N/A
hsa-miR-30d-3p	630-636	7mer-1A	-0.01	 38	-0.01	0.016	N/A
hsa-miR-4703-3p	635-641	7mer-1A	-0.15	 80	-0.15	0.000	N/A
hsa-miR-7852-3p	636-642	7mer-m8	-0.17	 86	-0.17	0.000	N/A
hsa-miR-3171	638-644	7mer-1A	-0.11	 67	-0.11	0.000	N/A
hsa-miR-5581-3p	646-652	7mer-1A	-0.08	 78	-0.08	0.000	N/A
hsa-miR-1298-5p	650-656	7mer-1A	-0.10	 87	-0.10	0.888	N/A
hsa-miR-335-3p	652-659	8mer	-0.03	 78	-0.03	0.031	N/A
hsa-miR-16-2-3p	658-664	7mer-m8	-0.05	 73	-0.05	0.031	N/A
hsa-miR-195-3p	658-664	7mer-m8	-0.05	 73	-0.05	0.031	N/A
hsa-miR-338-5p	659-665	7mer-m8	-0.06	 83	-0.06	0.031	N/A
hsa-miR-568	665-672	8mer	-0.14	 88	-0.14	0.043	N/A
hsa-miR-1288-5p	678-684	7mer-m8	-0.20	 95	-0.20	0.000	N/A
hsa-miR-514a-3p	683-689	7mer-1A	-0.05	 67	-0.05	0.043	N/A
hsa-miR-514b-3p	683-689	7mer-1A	-0.05	 67	-0.05	0.043	N/A
hsa-miR-875-3p	691-697	7mer-1A	-0.09	 79	-0.09	0.031	N/A
hsa-miR-1299	691-698	8mer	-0.12	 78	-0.12	0.016	N/A
hsa-miR-6128	691-697	7mer-1A	-0.04	 66	-0.04	0.043	N/A
hsa-miR-4782-5p	692-698	7mer-1A	-0.10	 80	-0.10	0.000	N/A
hsa-miR-5706	692-698	7mer-1A	-0.07	 70	-0.07	0.000	N/A
hsa-miR-516b-5p	692-698	7mer-1A	-0.10	 66	-0.10	0.043	N/A
hsa-miR-152-5p	694-701	8mer	-0.26	 92	-0.26	0.031	N/A
hsa-miR-182-3p	695-701	7mer-1A	-0.12	 75	-0.12	0.000	N/A
hsa-miR-597-3p	695-701	7mer-1A	-0.01	 25	-0.01	0.000	N/A
hsa-miR-218-2-3p	696-702	7mer-m8	-0.13	 84	-0.13	0.000	N/A
hsa-miR-7153-3p	699-706	8mer	-0.31	 98	-0.31	0.000	N/A
hsa-miR-6126	707-713	7mer-m8	-0.11	 87	-0.11	0.000	N/A
hsa-miR-4493	707-713	7mer-1A	-0.12	 76	-0.12	0.000	N/A
hsa-miR-605-3p	707-713	7mer-1A	-0.15	 75	-0.15	0.000	N/A
hsa-miR-181b-3p	711-717	7mer-m8	-0.08	 74	-0.08	0.000	N/A
hsa-miR-181b-2-3p	711-717	7mer-m8	-0.08	 74	-0.08	0.000	N/A
hsa-miR-4420	711-717	7mer-m8	-0.03	 66	-0.03	0.000	N/A
hsa-miR-1304-3p	712-719	8mer	-0.22	 97	-0.22	0.000	N/A
hsa-miR-1285-5p	714-720	7mer-m8	-0.14	 95	-0.14	0.000	N/A
hsa-miR-216a-5p	715-721	7mer-m8	-0.07	 72	-0.07	1.696	< 0.1
hsa-miR-5093	719-725	7mer-1A	-0.04	 62	-0.04	0.000	N/A
hsa-miR-3688-3p	720-726	7mer-m8	-0.02	 29	-0.02	0.000	N/A
hsa-miR-4647	723-729	7mer-m8	-0.02	 60	-0.02	0.000	N/A
hsa-miR-4426	723-729	7mer-m8	-0.02	 59	-0.02	0.000	N/A
hsa-miR-4662b	723-729	7mer-m8	-0.03	 55	-0.03	0.000	N/A
hsa-miR-1236-5p	735-741	7mer-m8	-0.05	 63	-0.05	0.000	N/A
hsa-miR-6754-5p	739-746	8mer	-0.16	 86	-0.16	0.000	N/A
hsa-miR-4441	739-746	8mer	-0.15	 85	-0.15	0.000	N/A
hsa-miR-4270	739-746	8mer	-0.14	 83	-0.14	0.000	N/A
hsa-miR-211-3p	740-746	7mer-1A	-0.01	 49	-0.01	0.000	N/A
hsa-miR-139-5p	746-752	7mer-m8	-0.04	 61	-0.04	1.111	< 0.1
hsa-miR-548v	747-753	7mer-m8	-0.14	 72	-0.14	0.000	N/A
hsa-miR-5690	749-755	7mer-m8	-0.16	 92	-0.16	0.000	N/A
hsa-miR-4262	760-766	7mer-m8	-0.02	 43	-0.02	2.184	< 0.1
hsa-miR-181c-5p	760-766	7mer-m8	-0.02	 31	-0.02	2.184	< 0.1
hsa-miR-181a-5p	760-766	7mer-m8	-0.02	 30	-0.02	2.184	< 0.1
hsa-miR-181b-5p	760-766	7mer-m8	-0.02	 30	-0.02	2.184	< 0.1
hsa-miR-181d-5p	760-766	7mer-m8	-0.02	 30	-0.02	2.184	< 0.1
hsa-miR-8485	772-778	7mer-m8	-0.15	 85	-0.15	0.000	N/A
hsa-miR-8485	774-780	7mer-m8	-0.12	 78	-0.12	0.000	N/A
hsa-miR-8485	776-782	7mer-m8	-0.09	 70	-0.09	0.000	N/A
hsa-miR-8485	778-784	7mer-m8	-0.11	 75	-0.11	0.000	N/A
hsa-miR-548t-3p	786-793	8mer	-0.03	 63	-0.03	0.031	N/A
hsa-miR-548ap-3p	786-793	8mer	-0.03	 63	-0.03	0.031	N/A
hsa-miR-548aa	786-793	8mer	-0.03	 63	-0.03	0.031	N/A
hsa-miR-548ay-3p	787-793	7mer-1A	-0.14	 96	-0.14	0.031	N/A
hsa-miR-548at-3p	787-793	7mer-1A	-0.14	 96	-0.14	0.031	N/A
hsa-miR-548as-3p	787-793	7mer-1A	-0.01	 48	-0.01	0.000	N/A
hsa-miR-3117-5p	792-799	8mer	-0.32	 97	-0.32	0.000	N/A
hsa-miR-6730-3p	794-801	8mer	-0.33	 98	-0.33	0.000	N/A
hsa-miR-3660	795-801	7mer-1A	-0.12	 78	-0.12	0.016	N/A
hsa-miR-6719-3p	795-801	7mer-1A	-0.03	 56	-0.03	0.000	N/A
hsa-miR-4526	795-801	7mer-1A	-0.01	 45	-0.01	0.016	N/A
hsa-miR-4256	796-802	7mer-1A	-0.08	 65	-0.08	0.000	N/A
hsa-miR-1237-3p	798-804	7mer-m8	-0.11	 81	-0.11	0.016	N/A
hsa-miR-5088-3p	799-806	8mer	-0.20	 92	-0.20	0.000	N/A
hsa-miR-5006-3p	801-808	8mer	-0.12	 86	-0.12	0.000	N/A
hsa-miR-4755-5p	801-808	8mer	-0.12	 86	-0.12	0.000	N/A
hsa-miR-623	801-807	7mer-1A	-0.08	 71	-0.08	0.000	N/A
hsa-miR-204-5p	801-807	7mer-1A	-0.04	 63	-0.04	1.247	< 0.1
hsa-miR-211-5p	801-807	7mer-1A	-0.03	 57	-0.03	1.247	< 0.1
hsa-miR-4446-5p	802-808	7mer-m8	-0.05	 68	-0.05	0.000	N/A
hsa-miR-5193	819-825	7mer-1A	-0.12	 77	-0.12	0.000	N/A
hsa-miR-660-3p	819-825	7mer-1A	-0.11	 76	-0.11	0.031	N/A
hsa-miR-3909	821-827	7mer-1A	-0.10	 64	-0.10	0.000	N/A
hsa-miR-6852-3p	821-827	7mer-1A	-0.10	 64	-0.10	0.000	N/A
hsa-miR-519d-3p	826-832	7mer-1A	-0.04	 80	-0.04	1.463	< 0.1
hsa-miR-3609	826-832	7mer-1A	-0.05	 75	-0.05	0.000	N/A
hsa-miR-548ah-5p	826-832	7mer-1A	-0.03	 62	-0.03	0.000	N/A
hsa-miR-106a-5p	826-832	7mer-1A	-0.01	 53	-0.01	1.463	< 0.1
hsa-miR-4796-3p	826-832	7mer-1A	-0.01	 52	-0.01	0.000	N/A
hsa-miR-526b-3p	826-832	7mer-1A	-0.01	 49	-0.01	1.463	< 0.1
hsa-miR-93-5p	826-832	7mer-1A	-0.01	 47	-0.01	1.463	< 0.1
hsa-miR-17-5p	826-832	7mer-1A	-0.01	 47	-0.01	1.463	< 0.1
hsa-miR-20b-5p	826-832	7mer-1A	-0.01	 47	-0.01	1.463	< 0.1
hsa-miR-106b-5p	826-832	7mer-1A	-0.01	 46	-0.01	1.463	< 0.1
hsa-miR-20a-5p	826-832	7mer-1A	-0.01	 46	-0.01	1.463	< 0.1
hsa-miR-629-5p	831-837	7mer-m8	-0.16	 88	-0.16	0.000	N/A
hsa-miR-186-3p	837-843	7mer-m8	-0.02	 52	-0.02	0.000	N/A
hsa-miR-6733-5p	857-863	7mer-1A	-0.13	 86	-0.13	0.000	N/A
hsa-miR-4668-5p	857-863	7mer-1A	-0.12	 79	-0.12	0.000	N/A
hsa-miR-6739-5p	857-863	7mer-1A	-0.08	 74	-0.08	0.000	N/A
hsa-miR-3153	857-863	7mer-1A	-0.02	 52	-0.02	0.000	N/A
hsa-miR-4646-5p	858-865	8mer	-0.26	 97	-0.26	0.226	N/A
hsa-miR-204-3p	858-865	8mer	-0.19	 97	-0.19	0.226	N/A
hsa-miR-6506-5p	859-865	7mer-1A	-0.17	 95	-0.17	0.000	N/A
hsa-miR-619-5p	859-865	7mer-1A	-0.11	 93	-0.11	0.000	N/A
hsa-miR-4314	859-865	7mer-m8	-0.19	 85	-0.19	0.000	N/A
hsa-miR-3192-5p	859-865	7mer-1A	-0.11	 84	-0.11	0.016	N/A
hsa-miR-1273e	872-879	8mer	-0.25	 94	-0.25	0.000	N/A
hsa-miR-3619-3p	882-888	7mer-1A	-0.06	 66	-0.06	0.000	N/A
hsa-miR-4776-5p	882-888	7mer-m8	-0.07	 56	-0.07	0.000	N/A
hsa-miR-4800-5p	883-889	7mer-m8	-0.21	 85	-0.21	0.000	N/A
hsa-miR-8071	884-890	7mer-m8	-0.16	 86	-0.16	0.000	N/A
hsa-miR-6745	885-892	8mer	-0.20	 86	-0.20	0.031	N/A
hsa-miR-363-5p	885-892	8mer	-0.20	 86	-0.20	0.031	N/A
hsa-miR-4483	886-892	7mer-1A	-0.09	 83	-0.09	0.016	N/A
hsa-miR-1293	886-892	7mer-1A	-0.09	 71	-0.09	0.016	N/A
hsa-miR-6756-5p	886-892	7mer-1A	-0.12	 53	-0.12	0.000	N/A
hsa-miR-6766-5p	886-892	7mer-1A	-0.09	 49	-0.09	0.000	N/A
hsa-miR-6776-5p	887-893	7mer-m8	-0.02	 36	-0.02	0.000	N/A
hsa-miR-6742-3p	888-895	8mer	-0.11	 87	-0.11	0.000	N/A
hsa-miR-6783-3p	889-895	7mer-m8	-0.09	 69	-0.09	0.000	N/A
hsa-miR-6852-5p	889-895	7mer-1A	-0.06	 67	-0.06	0.000	N/A
hsa-miR-1343-3p	889-895	7mer-m8	-0.08	 65	-0.08	0.000	N/A
hsa-miR-939-3p	889-895	7mer-1A	-0.01	 37	-0.01	0.000	N/A
hsa-miR-500a-5p	892-898	7mer-1A	-0.01	 33	-0.01	0.187	N/A
