miRNA,Position in the UTR,seed match,context++ score,context++ score percentile,weighted context++ score,conserved branch length,Pct
Poorly conserved sites,,,,,,,
hsa-miR-3166,16-23,8mer,"-0,34",95,"-0,34",0,N/A
hsa-miR-1273h-3p,17-23,7mer-m8,"-0,14",89,"-0,14",0,N/A
hsa-miR-4771,17-23,7mer-1A,"-0,13",75,"-0,13",0,N/A
hsa-miR-6767-3p,21-27,7mer-m8,"-0,28",93,"-0,28",0,N/A
hsa-miR-8064,25-31,7mer-1A,"-0,07",65,"-0,07",0,N/A
hsa-miR-586,31-37,7mer-1A,"-0,01",28,"-0,01",0,N/A
hsa-miR-675-3p,33-39,7mer-m8,"-0,2",92,"-0,2","0,048",N/A
hsa-miR-223-5p,35-41,7mer-1A,"-0,01",19,"-0,01",0,N/A
hsa-miR-3650,37-43,7mer-m8,"-0,14",82,"-0,14",0,N/A
hsa-miR-4783-3p,40-46,7mer-m8,"-0,39",91,"-0,39",0,N/A
hsa-miR-505-3p.1,46-52,7mer-1A,"-0,15",65,"-0,15","3,151",N/A
hsa-miR-215-3p,48-54,7mer-1A,"-0,06",74,"-0,06","0,389",N/A
hsa-miR-6773-3p,48-54,7mer-1A,"-0,07",72,"-0,07",0,N/A
hsa-miR-4684-5p,55-61,7mer-1A,"-0,08",73,"-0,08",0,N/A
hsa-miR-6809-3p,56-62,7mer-1A,"-0,06",77,"-0,06",0,N/A
hsa-miR-4768-5p,56-62,7mer-1A,"-0,06",77,"-0,06",0,N/A
hsa-miR-6833-3p,56-62,7mer-1A,"-0,02",61,"-0,02",0,N/A
hsa-miR-4328,60-66,7mer-m8,"-0,02",47,"-0,02",0,N/A
hsa-miR-4482-5p,63-69,7mer-m8,"-0,29",97,"-0,29","0,245",N/A
hsa-miR-3130-5p,63-69,7mer-m8,"-0,24",96,"-0,24","0,245",N/A
hsa-miR-6715b-3p,67-74,8mer,"-0,22",96,"-0,22",0,N/A
hsa-miR-6715a-3p,67-73,7mer-1A,"-0,12",82,"-0,12","0,363",N/A
hsa-miR-659-3p,72-79,8mer,"-0,3",97,"-0,3",0,N/A
hsa-miR-218-1-3p,72-78,7mer-1A,"-0,12",75,"-0,12","0,048",N/A
hsa-miR-5002-5p,74-80,7mer-m8,"-0,04",67,"-0,04",0,N/A
hsa-miR-4445-3p,80-86,7mer-1A,"-0,38",96,"-0,38",0,N/A
hsa-miR-548al,80-86,7mer-1A,"-0,37",95,"-0,37",0,N/A
hsa-miR-4999-3p,84-90,7mer-1A,"-0,05",56,"-0,05",0,N/A
hsa-miR-224-5p,87-93,7mer-m8,"-0,16",92,"-0,16","0,032",N/A
hsa-miR-3120-3p,92-98,7mer-m8,"-0,02",35,"-0,02","0,27",N/A
hsa-miR-8083,104-110,7mer-m8,"-0,1",79,"-0,1","0,245",N/A
hsa-miR-4533,107-114,8mer,"-0,25",96,"-0,25",0,N/A
hsa-miR-3202,108-114,7mer-1A,"-0,09",69,"-0,09",0,N/A
hsa-miR-4482-3p,118-124,7mer-m8,"-0,02",51,"-0,02",0,N/A
hsa-miR-4633-3p,124-130,7mer-1A,"-0,25",93,"-0,25",0,N/A
hsa-miR-6500-5p,124-130,7mer-1A,"-0,23",92,"-0,23",0,N/A
hsa-miR-6874-5p,124-130,7mer-m8,"-0,23",90,"-0,23",0,N/A
hsa-miR-4254,126-132,7mer-m8,"-0,08",78,"-0,08",0,N/A
hsa-miR-4308,127-133,7mer-m8,"-0,18",91,"-0,18",0,N/A
hsa-miR-331-3p,128-134,7mer-m8,"-0,17",90,"-0,17","2,175",N/A
hsa-miR-210-5p,129-135,7mer-m8,"-0,18",81,"-0,18","0,363",N/A
hsa-miR-6769a-3p,130-136,7mer-m8,"-0,16",92,"-0,16",0,N/A
hsa-miR-1225-3p,131-137,7mer-m8,"-0,27",92,"-0,27","0,013",N/A
hsa-miR-4533,136-142,7mer-m8,"-0,04",50,"-0,04",0,N/A
hsa-miR-4747-5p,137-144,8mer,"-0,3",96,"-0,3",0,N/A
hsa-miR-5196-5p,137-144,8mer,"-0,29",95,"-0,29",0,N/A
hsa-miR-4790-3p,142-148,7mer-1A,"-0,06",64,"-0,06",0,N/A
hsa-miR-4427,144-150,7mer-1A,"-0,07",73,"-0,07",0,N/A
hsa-miR-4680-3p,144-150,7mer-1A,"-0,02",46,"-0,02",0,N/A
hsa-miR-5187-3p,144-150,7mer-1A,"-0,01",41,"-0,01",0,N/A
hsa-miR-6856-5p,151-158,8mer,"-0,35",99,"-0,35",0,N/A
hsa-miR-6758-5p,151-158,8mer,"-0,33",98,"-0,33",0,N/A
hsa-miR-519a-5p,154-160,7mer-m8,"-0,12",81,"-0,12","0,054",N/A
hsa-miR-519c-5p,154-160,7mer-m8,"-0,12",81,"-0,12","0,054",N/A
hsa-miR-522-5p,154-160,7mer-m8,"-0,12",81,"-0,12","0,054",N/A
hsa-miR-523-5p,154-160,7mer-m8,"-0,12",81,"-0,12","0,054",N/A
hsa-miR-518e-5p,154-160,7mer-m8,"-0,12",81,"-0,12","0,054",N/A
hsa-miR-519b-5p,154-160,7mer-m8,"-0,12",81,"-0,12","0,054",N/A
hsa-miR-518d-5p,154-160,7mer-m8,"-0,12",79,"-0,12","0,054",N/A
hsa-miR-526a,154-160,7mer-m8,"-0,12",79,"-0,12","0,054",N/A
hsa-miR-518f-5p,154-160,7mer-m8,"-0,12",79,"-0,12","0,054",N/A
hsa-miR-520c-5p,154-160,7mer-m8,"-0,12",79,"-0,12","0,054",N/A
hsa-miR-520g-5p,154-160,7mer-1A,"-0,13",77,"-0,13","0,013",N/A
hsa-miR-625-3p,161-167,7mer-m8,"-0,03",72,"-0,03",0,N/A
hsa-miR-520f-5p,174-180,7mer-1A,"-0,07",71,"-0,07",0,N/A
hsa-miR-3675-3p,175-181,7mer-m8,"-0,12",87,"-0,12",0,N/A
hsa-miR-3156-5p,178-184,7mer-m8,"-0,1",82,"-0,1",0,N/A
hsa-miR-3187-3p,193-199,7mer-m8,"-0,2",95,"-0,2",0,N/A
hsa-miR-4529-5p,193-199,7mer-1A,"-0,16",80,"-0,16",0,N/A
hsa-miR-3973,211-218,8mer,"-0,2",96,"-0,2",0,N/A
hsa-miR-520g-3p,212-218,7mer-1A,"-0,1",90,"-0,1","0,013",N/A
hsa-miR-520h,212-218,7mer-1A,"-0,07",86,"-0,07","0,013",N/A
hsa-miR-8079,217-223,7mer-m8,"-0,28",98,"-0,28","0,013",N/A
hsa-miR-1245a,217-223,7mer-m8,"-0,33",98,"-0,33","0,013",N/A
hsa-miR-4796-5p,229-235,7mer-m8,"-0,22",88,"-0,22",0,N/A
hsa-miR-3613-3p,237-244,8mer,"-0,03",62,"-0,03",0,N/A
hsa-miR-6733-3p,243-249,7mer-m8,"-0,25",95,"-0,25","0,363",N/A
hsa-miR-6499-3p,244-250,7mer-m8,"-0,12",89,"-0,12",0,N/A
hsa-miR-548au-3p,246-252,7mer-1A,"-0,07",64,"-0,07",0,N/A
hsa-miR-6868-5p,247-253,7mer-m8,"-0,25",94,"-0,25",0,N/A
hsa-miR-4463,250-256,7mer-m8,"-0,11",88,"-0,11",0,N/A
hsa-miR-873-3p,251-258,8mer,"-0,21",95,"-0,21",0,N/A
hsa-miR-3672,252-258,7mer-m8,"-0,09",79,"-0,09",0,N/A
hsa-miR-6864-3p,252-258,7mer-m8,"-0,02",53,"-0,02",0,N/A
hsa-miR-125b-2-3p,258-264,7mer-m8,"-0,06",77,"-0,06",0,N/A
hsa-miR-4717-5p,262-269,8mer,"-0,48",99,"-0,48","0,363",N/A
hsa-miR-15a-3p,263-269,7mer-1A,"-0,21",95,"-0,21","0,517",N/A
hsa-miR-5704,263-269,7mer-m8,"-0,26",83,"-0,26",0,N/A
hsa-miR-1295b-3p,264-270,7mer-m8,"-0,32",94,"-0,32",0,N/A
hsa-miR-539-5p,269-275,7mer-m8,"-0,02",65,"-0,02","0,574",N/A
hsa-miR-3919,271-277,7mer-m8,"-0,05",78,"-0,05",0,N/A
hsa-miR-3185,278-284,7mer-m8,"-0,07",77,"-0,07",0,N/A
hsa-miR-7-5p,280-286,7mer-1A,"-0,07",79,"-0,07","2,297","0,1"
hsa-miR-6077,280-286,7mer-1A,"-0,04",71,"-0,04",0,N/A
hsa-miR-3690,283-289,7mer-1A,"-0,16",90,"-0,16",0,N/A
hsa-miR-4254,283-289,7mer-1A,"-0,12",88,"-0,12",0,N/A
hsa-miR-1343-3p,284-290,7mer-1A,"-0,2",91,"-0,2",0,N/A
hsa-miR-6783-3p,284-290,7mer-1A,"-0,11",74,"-0,11",0,N/A
hsa-miR-548e-5p,293-300,8mer,"-0,15",95,"-0,15",0,N/A
hsa-miR-6831-3p,301-307,7mer-1A,"-0,08",78,"-0,08",0,N/A
hsa-miR-6769a-3p,313-319,7mer-m8,"-0,21",96,"-0,21",0,N/A
hsa-miR-885-3p,317-323,7mer-1A,"-0,16",85,"-0,16","0,604",N/A
hsa-miR-6868-5p,318-324,7mer-m8,"-0,13",78,"-0,13",0,N/A
hsa-miR-221-5p,319-325,7mer-m8,"-0,17",87,"-0,17","0,87",N/A
hsa-miR-8073,319-325,7mer-m8,"-0,14",83,"-0,14","0,87",N/A
hsa-miR-139-3p,332-338,7mer-1A,"-0,19",91,"-0,19",0,N/A
hsa-miR-4802-5p,334-340,7mer-1A,"-0,11",77,"-0,11","0,363",N/A
hsa-miR-6514-5p,334-340,7mer-1A,"-0,09",76,"-0,09",0,N/A
hsa-miR-6124,354-360,7mer-m8,"-0,06",92,"-0,06",0,N/A
hsa-miR-4496,356-362,7mer-1A,"-0,02",78,"-0,02",0,N/A
hsa-miR-98-3p,371-377,7mer-1A,"-0,17",95,"-0,17","0,048",N/A
hsa-let-7b-3p,371-377,7mer-1A,"-0,14",93,"-0,14","0,048",N/A
hsa-let-7a-3p,371-377,7mer-1A,"-0,14",92,"-0,14","0,048",N/A
hsa-let-7f-1-3p,371-377,7mer-1A,"-0,14",92,"-0,14","0,048",N/A
hsa-miR-1185-2-3p,371-377,7mer-1A,"-0,11",88,"-0,11",0,N/A
hsa-miR-1185-1-3p,371-377,7mer-1A,"-0,11",88,"-0,11",0,N/A
hsa-let-7f-2-3p,371-377,7mer-1A,"-0,1",87,"-0,1",0,N/A
hsa-miR-4789-5p,371-377,7mer-1A,"-0,03",81,"-0,03",0,N/A
hsa-miR-4795-3p,374-380,7mer-1A,"-0,01",39,"-0,01",0,N/A
hsa-miR-1266-3p,380-386,7mer-1A,"-0,1",76,"-0,1",0,N/A
hsa-miR-7152-5p,381-387,7mer-m8,"-0,17",93,"-0,17",0,N/A
hsa-miR-3974,390-396,7mer-m8,"-0,17",83,"-0,17","0,048",N/A
hsa-miR-548m,392-398,7mer-1A,"-0,15",91,"-0,15",0,N/A
hsa-miR-3173-3p,399-405,7mer-m8,"-0,25",95,"-0,23","0,054",N/A
hsa-miR-6891-5p,399-405,7mer-m8,"-0,25",94,"-0,23","0,054",N/A
hsa-miR-6730-5p,402-408,7mer-1A,"-0,14",91,"-0,13","0,367",N/A
hsa-miR-488-3p,402-408,7mer-m8,"-0,1",84,"-0,09","2,367",N/A
hsa-miR-5681a,402-408,7mer-1A,"-0,12",81,"-0,11",0,N/A
hsa-miR-4766-5p,403-409,7mer-m8,"-0,05",80,"-0,04","0,389",N/A
hsa-miR-494-3p,411-417,7mer-1A,"-0,01",33,"-0,01","2,671",N/A
hsa-miR-510-3p,412-419,8mer,"-0,03",81,"-0,03",0,N/A
hsa-miR-6804-3p,420-426,7mer-m8,"-0,23",89,"-0,21",0,N/A
hsa-miR-593-5p,422-428,7mer-1A,"-0,23",84,"-0,2",0,N/A
hsa-miR-221-5p,424-431,8mer,"-0,28",97,"-0,26","0,048",N/A
hsa-miR-8073,424-431,8mer,"-0,28",97,"-0,25","0,048",N/A
hsa-miR-4678,431-437,7mer-1A,"-0,05",58,"-0,05",0,N/A
hsa-miR-331-5p,431-437,7mer-m8,"-0,07",56,"-0,06","0,048",N/A
hsa-miR-641,437-444,8mer,"-0,22",97,"-0,2","0,013",N/A
hsa-miR-3617-5p,437-444,8mer,"-0,21",97,"-0,19","0,013",N/A
hsa-miR-4263,441-447,7mer-m8,"-0,11",92,"-0,1",0,N/A
hsa-miR-5571-5p,444-450,7mer-1A,"-0,03",81,"-0,03",0,N/A
hsa-miR-4735-5p,446-452,7mer-1A,"-0,01",22,"-0,01",0,N/A
hsa-miR-618,449-455,7mer-m8,"-0,16",92,"-0,15","0,054",N/A
hsa-miR-3185,455-461,7mer-1A,"-0,1",86,"-0,09",0,N/A
hsa-miR-4709-3p,456-462,7mer-1A,"-0,08",79,"-0,08",0,N/A
hsa-miR-15b-3p,465-471,7mer-1A,"-0,19",94,"-0,17",0,N/A
hsa-miR-551b-5p,472-478,7mer-m8,"-0,02",62,"-0,02","0,443",N/A
hsa-miR-539-5p,475-482,8mer,"-0,07",93,"-0,07","0,382",N/A
hsa-miR-580-3p,477-483,7mer-1A,"-0,21",97,"-0,19","0,013",N/A
hsa-miR-1-5p,482-488,7mer-m8,"-0,06",61,"-0,05","0,048",< 0.1
hsa-miR-130a-5p,493-499,7mer-1A,"-0,08",75,"-0,07","0,163",< 0.1
hsa-miR-23c,493-499,7mer-1A,"-0,06",66,"-0,05","0,163",< 0.1
hsa-miR-23b-3p,493-499,7mer-1A,"-0,05",63,"-0,04","0,163",< 0.1
hsa-miR-23a-3p,493-499,7mer-1A,"-0,05",62,"-0,04","0,163",< 0.1
hsa-miR-130b-5p,497-503,7mer-m8,"-0,07",78,"-0,06",0,N/A
hsa-miR-4674,501-507,7mer-m8,"-0,24",94,"-0,22",0,N/A
hsa-miR-4437,501-507,7mer-1A,"-0,25",89,"-0,22",0,N/A
hsa-miR-378g,502-508,7mer-m8,"-0,18",91,"-0,16",0,N/A
hsa-miR-939-3p,503-509,7mer-m8,"-0,3",96,"-0,27",0,N/A
hsa-miR-6791-5p,504-511,8mer,"-0,4",98,"-0,36",0,N/A
hsa-miR-4292,504-511,8mer,"-0,41",98,"-0,37",0,N/A
hsa-miR-4308,505-511,7mer-1A,"-0,19",92,"-0,17",0,N/A
hsa-miR-6834-3p,508-514,7mer-m8,"-0,31",95,"-0,28",0,N/A
hsa-miR-513b-3p,510-516,7mer-1A,"-0,09",75,"-0,08",0,N/A
hsa-miR-1261,514-520,7mer-m8,"-0,16",82,"-0,15",0,N/A
hsa-miR-548g-3p,523-530,8mer,"-0,2",97,"-0,19",0,N/A
hsa-miR-548av-3p,524-530,7mer-1A,"-0,01",60,"-0,01",0,N/A
hsa-miR-4424,528-534,7mer-m8,"-0,21",88,"-0,19",0,N/A
hsa-miR-3646,536-543,8mer,"-0,04",86,"-0,04",0,N/A
hsa-miR-1252-3p,537-543,7mer-1A,"-0,04",84,"-0,04",0,N/A
hsa-miR-6759-3p,543-549,7mer-m8,"-0,17",88,"-0,16",0,N/A
hsa-miR-659-5p,544-551,8mer,"-0,54",99,"-0,48",0,N/A
hsa-miR-4535,545-551,7mer-m8,"-0,24",94,"-0,21",0,N/A
hsa-miR-492,545-551,7mer-1A,"-0,25",89,"-0,23","0,054",N/A
hsa-miR-6861-3p,545-551,7mer-1A,"-0,16",79,"-0,15",0,N/A
hsa-miR-378c,547-553,7mer-1A,"-0,16",84,"-0,14","1,642",N/A
hsa-miR-378d,547-553,7mer-1A,"-0,15",82,"-0,13","1,642",N/A
hsa-miR-4638-3p,547-553,7mer-1A,"-0,16",80,"-0,15",0,N/A
hsa-miR-378b,547-553,7mer-1A,"-0,14",80,"-0,12","1,642",N/A
hsa-miR-378f,547-553,7mer-1A,"-0,14",80,"-0,12","1,642",N/A
hsa-miR-422a,547-553,7mer-1A,"-0,14",79,"-0,12","1,642",N/A
hsa-miR-378h,547-553,7mer-1A,"-0,14",79,"-0,12","1,642",N/A
hsa-miR-378i,547-553,7mer-1A,"-0,14",79,"-0,12","1,642",N/A
hsa-miR-378a-3p,547-553,7mer-1A,"-0,14",79,"-0,12","1,642",N/A
hsa-miR-378e,547-553,7mer-1A,"-0,12",77,"-0,11","1,642",N/A
hsa-miR-518c-5p,548-555,8mer,"-0,2",93,"-0,18",0,N/A
hsa-miR-6764-3p,549-555,7mer-1A,"-0,13",89,"-0,12",0,N/A
hsa-miR-6824-3p,549-555,7mer-1A,"-0,1",84,"-0,09",0,N/A
hsa-miR-3191-5p,549-555,7mer-m8,"-0,12",83,"-0,11",0,N/A
hsa-miR-326,549-555,7mer-1A,"-0,12",80,"-0,11","1,917",N/A
hsa-miR-330-5p,549-555,7mer-1A,"-0,08",70,"-0,07","1,917",N/A
hsa-miR-6817-3p,550-556,7mer-m8,"-0,1",79,"-0,09",0,N/A
hsa-miR-4723-3p,551-557,7mer-m8,"-0,13",82,"-0,12",0,N/A
hsa-miR-6769b-3p,551-557,7mer-m8,"-0,12",81,"-0,11",0,N/A
hsa-miR-3183,551-557,7mer-m8,"-0,05",77,"-0,04",0,N/A
hsa-miR-2682-3p,553-559,7mer-1A,"-0,14",85,"-0,13",0,N/A
hsa-miR-6781-3p,553-559,7mer-1A,"-0,12",84,"-0,11",0,N/A
hsa-miR-3152-5p,554-560,7mer-m8,"-0,2",89,"-0,18",0,N/A
hsa-miR-6836-3p,554-560,7mer-1A,"-0,13",78,"-0,12",0,N/A
hsa-miR-6500-3p,558-564,7mer-1A,"-0,08",81,"-0,08",0,N/A
hsa-miR-3614-5p,558-564,7mer-1A,"-0,11",79,"-0,1",0,N/A
hsa-miR-1277-5p,578-585,8mer,"-0,03",76,"-0,03",0,N/A
hsa-miR-215-5p,584-590,7mer-m8,"-0,18",90,"-0,17","0,326",< 0.1
hsa-miR-192-5p,584-590,7mer-m8,"-0,18",90,"-0,16","0,326",< 0.1
hsa-miR-181b-2-3p,588-594,7mer-m8,"-0,09",76,"-0,08",0,N/A
hsa-miR-181b-3p,588-594,7mer-m8,"-0,09",76,"-0,08",0,N/A
hsa-miR-4420,588-594,7mer-m8,"-0,02",53,"-0,02",0,N/A
hsa-miR-4704-3p,591-598,8mer,"-0,31",97,"-0,28",0,N/A
hsa-miR-5088-3p,597-603,7mer-1A,"-0,08",74,"-0,08",0,N/A
hsa-miR-133a-3p.1,600-607,8mer,"-0,47",98,"-0,42","0,058",< 0.1
hsa-miR-4281,600-606,7mer-1A,"-0,16",91,"-0,15",0,N/A
hsa-miR-133b,601-607,7mer-m8,"-0,25",89,"-0,23","0,058",< 0.1
hsa-miR-133a-3p.2,601-607,7mer-m8,"-0,25",89,"-0,23","0,058",< 0.1
hsa-miR-4520-5p,610-616,7mer-1A,"-0,25",77,"-0,22",0,N/A
hsa-miR-6503-5p,612-618,7mer-m8,"-0,26",92,"-0,23",0,N/A
hsa-miR-4527,612-618,7mer-m8,"-0,24",91,"-0,22",0,N/A
hsa-miR-5093,621-627,7mer-1A,"-0,05",66,"-0,04",0,N/A
hsa-miR-3978,622-628,7mer-1A,"-0,01",49,"-0,01",0,N/A
hsa-miR-924,632-638,7mer-m8,"-0,08",70,"-0,08","0,013",N/A
hsa-miR-4294,633-639,7mer-m8,"-0,13",80,"-0,12",0,N/A
hsa-miR-6871-5p,636-642,7mer-m8,"-0,2",87,"-0,18",0,N/A
hsa-miR-107,641-647,7mer-m8,"-0,12",80,"-0,11","1,363",< 0.1
hsa-miR-103a-3p,641-647,7mer-m8,"-0,12",80,"-0,11","1,363",< 0.1
hsa-miR-1827,644-651,8mer,"-0,25",93,"-0,23",0,N/A
hsa-miR-1252-3p,648-654,7mer-m8,"-0,02",64,"-0,02",0,N/A
hsa-miR-5585-3p,656-662,7mer-1A,"-0,04",68,"-0,03",0,N/A
hsa-miR-4484,663-669,7mer-1A,"-0,17",92,"-0,15",0,N/A
hsa-miR-548an,663-669,7mer-1A,"-0,11",79,"-0,1",0,N/A
hsa-miR-6768-3p,663-669,7mer-1A,"-0,06",73,"-0,05",0,N/A
hsa-miR-1266-3p,669-675,7mer-1A,"-0,06",66,"-0,05",0,N/A
hsa-miR-660-3p,671-677,7mer-m8,"-0,11",75,"-0,1","0,048",N/A
hsa-miR-4667-3p,672-678,7mer-m8,"-0,1",75,"-0,09",0,N/A
hsa-miR-4290,673-680,8mer,"-0,46",97,"-0,41",0,N/A
hsa-miR-3157-3p,675-681,7mer-1A,"-0,2",91,"-0,18",0,N/A
hsa-miR-874-3p,675-681,7mer-1A,"-0,16",84,"-0,14","0,659",N/A
hsa-miR-1306-5p,683-689,7mer-1A,"-0,1",74,"-0,09","0,845",< 0.1
hsa-miR-1229-3p,685-692,8mer,"-0,48",99,"-0,43",0,N/A
hsa-miR-6511a-3p,685-691,7mer-1A,"-0,23",91,"-0,21",0,N/A
hsa-miR-6511b-3p,685-691,7mer-1A,"-0,23",91,"-0,21",0,N/A
hsa-miR-6862-3p,685-691,7mer-1A,"-0,16",83,"-0,14",0,N/A
hsa-miR-6784-3p,685-691,7mer-1A,"-0,15",81,"-0,14",0,N/A
hsa-miR-302c-5p,695-701,7mer-1A,"-0,02",70,"-0,02",0,N/A
hsa-miR-552-5p,696-702,7mer-1A,"-0,01",47,"-0,01",0,N/A
hsa-miR-5001-3p,715-721,7mer-m8,"-0,22",92,"-0,2",0,N/A
hsa-miR-3194-3p,717-724,8mer,"-0,37",98,"-0,33",0,N/A
hsa-miR-5691,718-724,7mer-m8,"-0,16",87,"-0,14",0,N/A
hsa-miR-6805-3p,718-724,7mer-m8,"-0,16",87,"-0,14",0,N/A
hsa-miR-2116-3p,724-730,7mer-m8,"-0,09",87,"-0,08",0,N/A
hsa-miR-6749-3p,726-733,8mer,"-0,45",98,"-0,4",0,N/A
hsa-miR-6792-3p,727-733,7mer-1A,"-0,19",86,"-0,17",0,N/A
hsa-miR-4691-5p,727-733,7mer-1A,"-0,12",85,"-0,11",0,N/A
hsa-miR-3123,735-741,7mer-m8,"-0,02",58,"-0,02",0,N/A
hsa-miR-3919,736-742,7mer-m8,"-0,02",44,"-0,02",0,N/A
hsa-miR-525-5p,738-744,7mer-m8,"-0,11",76,"-0,1","0,048",N/A
hsa-miR-520a-5p,738-744,7mer-m8,"-0,11",76,"-0,1","0,048",N/A
hsa-miR-3925-3p,740-746,7mer-1A,"-0,13",88,"-0,12",0,N/A
hsa-miR-766-3p,740-746,7mer-1A,"-0,07",71,"-0,06","0,013",N/A
hsa-miR-7151-5p,745-751,7mer-m8,"-0,02",66,"-0,02",0,N/A
hsa-miR-4793-5p,755-761,7mer-1A,"-0,12",83,"-0,11",0,N/A
hsa-miR-5196-3p,755-761,7mer-1A,"-0,11",81,"-0,1",0,N/A
hsa-miR-6731-5p,771-777,7mer-m8,"-0,09",63,"-0,08","0,048",N/A
hsa-miR-8085,771-777,7mer-m8,"-0,08",59,"-0,07","0,048",N/A
hsa-miR-6760-5p,772-778,7mer-m8,"-0,02",34,"-0,02",0,N/A
hsa-miR-4419a,773-779,7mer-m8,"-0,14",72,"-0,13","0,054",N/A
hsa-miR-6130,773-779,7mer-m8,"-0,12",68,"-0,11","0,054",N/A
hsa-miR-6129,773-779,7mer-m8,"-0,12",68,"-0,11","0,054",N/A
hsa-miR-4510,773-779,7mer-m8,"-0,12",67,"-0,11","0,054",N/A
hsa-miR-6133,773-779,7mer-m8,"-0,12",67,"-0,11","0,054",N/A
hsa-miR-6127,773-779,7mer-m8,"-0,1",60,"-0,09","0,054",N/A
hsa-miR-6797-5p,774-780,7mer-m8,"-0,17",81,"-0,16","0,048",N/A
hsa-miR-1249-5p,774-780,7mer-m8,"-0,15",76,"-0,14","0,048",N/A
hsa-miR-4779,775-781,7mer-m8,"-0,16",85,"-0,14",0,N/A
hsa-miR-4459,776-782,7mer-m8,"-0,14",88,"-0,12",0,N/A
hsa-miR-6768-5p,779-785,7mer-m8,"-0,06",75,"-0,05",0,N/A
hsa-miR-96-5p,784-790,7mer-m8,"-0,15",83,"-0,13","1,294",< 0.1
hsa-miR-1271-5p,784-790,7mer-m8,"-0,13",80,"-0,12","1,294",< 0.1
hsa-miR-183-5p.2,784-790,7mer-1A,"-0,14",78,"-0,12","1,294",< 0.1
hsa-miR-27a-5p,789-795,7mer-1A,"-0,15",73,"-0,13","0,048",N/A
hsa-miR-378g,790-796,7mer-m8,"-0,21",94,"-0,19",0,N/A
hsa-miR-6830-5p,803-809,7mer-m8,"-0,09",71,"-0,08",0,N/A
hsa-miR-6809-5p,805-811,7mer-m8,"-0,21",87,"-0,19",0,N/A
hsa-miR-486-3p,808-814,7mer-1A,"-0,23",80,"-0,21","0,048",N/A
hsa-miR-4260,809-816,8mer,"-0,41",97,"-0,37",0,N/A
hsa-miR-1227-5p,809-815,7mer-1A,"-0,12",79,"-0,11","0,048",N/A
hsa-miR-5572,810-816,7mer-1A,"-0,08",74,"-0,07",0,N/A
hsa-miR-450a-2-3p,810-816,7mer-1A,"-0,14",68,"-0,13","0,048",N/A
hsa-miR-6740-5p,811-817,7mer-m8,"-0,16",79,"-0,15",0,N/A
hsa-miR-4645-3p,816-822,7mer-1A,"-0,18",83,"-0,16",0,N/A
hsa-miR-542-3p,817-824,8mer,"-0,38",98,"-0,34","0,792",N/A
hsa-miR-4504,818-824,7mer-1A,"-0,11",77,"-0,1","0,013",N/A
hsa-miR-4501,819-825,7mer-m8,"-0,22",94,"-0,2",0,N/A
hsa-miR-8066,820-826,7mer-m8,"-0,12",86,"-0,11",0,N/A
